deal_id,sales_rep,region,product,amount,stage,date
1,Rohit,North,Product C,,Qualified,2024-03-12
2,Rohit,North,Product C,,Lead,2024-02-17
3,Priya,South,Product C,,Closed Lost,2024-04-11
4,Vikas,South,Product B,39618.0,Lead,2024-03-22
5,Vikas,East,Product B,,Proposal,2024-02-22
6,Rohit,West,Product A,24526.0,Closed Lost,2024-05-15
7,Amit,West,Product C,9180.0,Lead,2024-10-09
8,Karan,East,Product C,,Lead,2024-12-04
9,Priya,East,Product A,,Closed Won,2024-05-22
10,Sneha,East,Product A,25260.0,Qualified,2024-12-09
11,Karan,North,Product C,,Closed Lost,2024-05-05
12,Neha,West,Product B,,Proposal,2024-01-29
13,Priya,North,Product B,27290.0,Lead,2024-04-18
14,Anjali,South,Product C,33717.0,Closed Won,2024-03-14
15,Karan,South,Product A,49823.0,Closed Lost,2024-08-07
16,Vikas,East,Product A,10065.0,Lead,2024-01-25
17,Rohit,South,Product C,11484.0,Closed Lost,2024-02-02
18,Vikas,West,Product C,31674.0,Closed Lost,2024-01-06
19,Rohit,East,Product C,,Proposal,2024-08-10
20,Neha,West,Product A,48323.0,Closed Lost,2024-04-01
21,Rohit,East,Product C,,Qualified,2024-07-10
22,Neha,North,Product C,22243.0,Lead,2024-02-27
23,Anjali,East,Product A,,Closed Lost,2024-02-10
24,Rohit,West,Product A,,Qualified,2024-12-03
25,Sneha,South,Product B,35581.0,Qualified,2024-10-03
26,Priya,East,Product B,45019.0,Closed Won,2024-09-21
27,Sneha,North,Product A,,Proposal,2024-01-11
28,Priya,South,Product A,,Qualified,2024-02-04
29,Amit,East,Product A,,Proposal,2024-12-08
30,Sneha,South,Product C,9671.0,Qualified,2024-08-30
31,Vikas,South,Product A,7352.0,Proposal,2024-08-04
32,Vikas,West,Product C,,Lead,2024-07-25
33,Anjali,North,Product A,,Closed Lost,2024-08-17
34,Neha,West,Product A,19254.0,Qualified,2024-02-08
35,Sneha,North,Product A,,Lead,2024-05-01
36,Neha,West,Product B,,Closed Won,2024-01-31
37,Neha,West,Product A,26586.0,Closed Won,2024-05-26
38,Vikas,West,Product A,13445.0,Qualified,2024-01-30
39,Amit,East,Product A,4286.0,Closed Lost,2024-09-28
40,Neha,North,Product C,,Lead,2024-10-31
41,Rohit,South,Product B,,Closed Lost,2024-10-31
42,Amit,North,Product B,44081.0,Proposal,2024-04-14
43,Anjali,South,Product B,,Proposal,2024-08-22
44,Anjali,North,Product A,,Lead,2024-10-02
45,Priya,East,Product A,,Qualified,2024-07-08
46,Karan,South,Product B,36600.0,Closed Lost,2024-11-30
47,Amit,East,Product C,,Proposal,2024-02-29
48,Rohit,South,Product B,,Proposal,2024-04-14
49,Karan,West,Product B,,Closed Won,2024-05-21
50,Amit,North,Product B,9573.0,Qualified,2024-08-14
51,Vikas,North,Product A,,Closed Lost,2024-01-19
52,Anjali,South,Product B,,Proposal,2024-07-05
53,Amit,East,Product A,,Lead,2024-06-30
54,Vikas,South,Product A,,Closed Won,2024-01-13
55,Neha,East,Product B,,Proposal,2024-03-22
56,Rohit,West,Product A,,Qualified,2024-08-23
57,Anjali,East,Product A,,Qualified,2024-07-23
58,Anjali,East,Product A,19292.0,Closed Lost,2024-07-23
59,Anjali,North,Product A,,Closed Lost,2024-05-15
60,Amit,North,Product C,29479.0,Proposal,2024-08-11
61,Rohit,West,Product C,13457.0,Lead,2024-12-28
62,Vikas,North,Product C,,Proposal,2024-08-08
63,Rohit,East,Product C,,Proposal,2024-09-16
